
[INFO] This tool reads browser history from ~/Library. 
For macOS 10.15+ you must add this Terminal (or your app) to
System Settings > Privacy & Security > Full Disk Access.

[Chrome:Profile 4] Found 1261 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
[Chrome:Profile 3] Found 80 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
[Chrome:Profile 5] Found 59 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
browser,profile,url,title,visited_at_iso,visit_count,source_path,snapshot_path
chrome,Profile 4,https://www.ecell.in/esummit/dashboard/profile,Profile | Dashboard | E-Summit '25 | 1st - 2nd Feb,2025-11-01T13:05:53Z,3,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/events,"Events | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T13:05:09Z,8,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/ihack/reg,"Register for i-Hack | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T13:04:58Z,3,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/speakers,"Speakers | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T13:02:23Z,3,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/,"21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T13:01:59Z,5,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/,E-Cell - Creating Job Creators,2025-11-01T13:01:54Z,3,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=l_63zbTj9Hw,My Corporate Job | Aakash Gupta | Stand-up comedy - YouTube,2025-11-01T10:17:26Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/results?search_query=akash+gupta,akash gupta - YouTube,2025-11-01T10:17:22Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=mbOO0Z6ryO0,Ambulance - Stand Up Comedy Ft. Anubhav Singh Bassi - YouTube,2025-11-01T09:55:31Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/results?search_query=bassi+stand+up,bassi stand up - YouTube,2025-11-01T09:55:26Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.youtube.com/watch?v=_ijaEtNzZgw&list=RD_ijaEtNzZgw&start_radio=1,Maruti (Official Video) Dhanda Nyoliwala | Miki Malang | Ron Likhari - YouTube,2025-11-01T09:49:01Z,2,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
